brand,month,revenue,units_sold,avg_price,gross_margin,return_rate,top_category
Nike,2025-01,1250000,45200,27.65,42.3,8.5,Footwear
Nike,2024-12,1180000,43100,27.38,41.8,9.2,Footwear
Nike,2024-11,1320000,48500,27.22,43.1,7.8,Footwear
Zara,2025-01,980000,52100,18.81,38.5,12.3,Dresses
Zara,2024-12,1050000,55200,19.02,39.1,11.8,Outerwear
Zara,2024-11,920000,49800,18.47,37.9,13.1,Tops
Adidas,2025-01,1100000,41300,26.63,40.2,9.1,Footwear
Adidas,2024-12,1020000,38900,26.22,39.8,9.8,Footwear
Adidas,2024-11,1150000,43200,26.62,41.0,8.7,Footwear
H&M,2025-01,850000,68200,12.46,32.5,15.2,Tops
H&M,2024-12,780000,64100,12.17,31.8,16.1,Dresses
H&M,2024-11,820000,66500,12.33,32.1,15.8,Bottoms
Lululemon,2025-01,620000,18500,33.51,51.2,6.3,Activewear
Lululemon,2024-12,580000,17200,33.72,50.8,6.9,Activewear
Lululemon,2024-11,640000,19100,33.51,51.5,5.8,Activewear
Mango,2025-01,420000,23400,17.95,36.2,13.5,Dresses
Mango,2024-12,390000,21800,17.89,35.8,14.2,Outerwear
Mango,2024-11,410000,22900,17.90,36.0,13.9,Tops
